wilayah,tahun,periode,id_periode,nilai,nasional,target RKP,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
6200,2018,08,201808,4.04,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
6300,2018,08,201808,4.18,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
6400,2018,08,201808,5.94,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
6500,2018,08,201808,4.49,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7100,2018,08,201808,6.01,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7200,2018,08,201808,3.11,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7300,2018,08,201808,4.62,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7400,2018,08,201808,3.52,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7500,2018,08,201808,3.76,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7600,2018,08,201808,2.98,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
8100,2018,08,201808,6.69,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
8200,2018,08,201808,4.81,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
9100,2018,08,201808,6.43,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
9400,2018,08,201808,3.51,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
