wilayah,tahun,periode,id_periode,nilai,nasional,target RKP,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator,
1971,2015,03,201503,10020,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
2101,2015,03,201503,14820,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
2102,2015,03,201503,9250,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
2103,2015,03,201503,3230,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
2104,2015,03,201503,13220,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
2105,2015,03,201503,2650,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
2171,2015,03,201503,59940,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
2172,2015,03,201503,19300,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3101,2015,03,201503,2650,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3171,2015,03,201503,74460,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3172,2015,03,201503,91440,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3173,2015,03,201503,38010,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3174,2015,03,201503,89390,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3175,2015,03,201503,102970,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3201,2015,03,201503,487100,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3202,2015,03,201503,217860,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3203,2015,03,201503,273900,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3204,2015,03,201503,281040,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3205,2015,03,201503,325670,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3206,2015,03,201503,208120,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3207,2015,03,201503,104870,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3208,2015,03,201503,147210,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3209,2015,03,201503,313210,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3210,2015,03,201503,167500,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3211,2015,03,201503,129030,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3212,2015,03,201503,253120,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3213,2015,03,201503,187170,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3214,2015,03,201503,83940,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3215,2015,03,201503,235030,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3216,2015,03,201503,169200,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3217,2015,03,201503,205690,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3218,2015,03,201503,41970,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3271,2015,03,201503,79150,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3272,2015,03,201503,27840,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
3273,2015,03,201503,114120,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
