wilayah,tahun,periode,id_periode,nilai,nasional,target,versi,satuan,sumber,id_indikator,nama_indikator,
6100,2019,00,201900,12.58,12.95,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls,
6100,2019,00,201900,9055,11299,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,
6200,2019,00,201900,69.69,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh,
6200,2019,00,201900,8.51,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls,
6200,2019,00,201900,12.57,12.95,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls,
6200,2019,00,201900,11236,11299,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,
6300,2019,00,201900,68.49,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh,
6300,2019,00,201900,8.2,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls,
6300,2019,00,201900,12.52,12.95,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls,
6300,2019,00,201900,12253,11299,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,
6400,2019,00,201900,74.22,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh,
6400,2019,00,201900,9.7,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls,
6400,2019,00,201900,13.69,12.95,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls,
6400,2019,00,201900,12359,11299,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,
6500,2019,00,201900,72.54,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh,
6500,2019,00,201900,8.94,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls,
6500,2019,00,201900,12.84,12.95,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls,
6500,2019,00,201900,9343,11299,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,
7100,2019,00,201900,71.58,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh,
7100,2019,00,201900,9.43,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls,
7100,2019,00,201900,12.73,12.95,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls,
7100,2019,00,201900,11115,11299,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,
7200,2019,00,201900,68.23,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh,
7200,2019,00,201900,8.75,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls,
7200,2019,00,201900,13.14,12.95,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls,
7200,2019,00,201900,9604,11299,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,
7300,2019,00,201900,70.43,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh,
7300,2019,00,201900,8.26,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls,
7300,2019,00,201900,13.36,12.95,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls,
7300,2019,00,201900,11118,11299,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,
7400,2019,00,201900,70.97,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh,
7400,2019,00,201900,8.91,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls,
7400,2019,00,201900,13.55,12.95,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls,
7400,2019,00,201900,9436,11299,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,
7500,2019,00,201900,67.93,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh,
7500,2019,00,201900,7.69,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls,
7500,2019,00,201900,13.06,12.95,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls,
7500,2019,00,201900,10075,11299,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,
7600,2019,00,201900,64.82,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh,
7600,2019,00,201900,7.73,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls,
7600,2019,00,201900,12.62,12.95,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls,
7600,2019,00,201900,9235,11299,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,
8100,2019,00,201900,65.82,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh,
8100,2019,00,201900,9.81,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls,
8100,2019,00,201900,13.94,12.95,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls,
8100,2019,00,201900,8887,11299,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,
8200,2019,00,201900,68.18,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh,
8200,2019,00,201900,9,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls,
8200,2019,00,201900,13.63,12.95,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls,
8200,2019,00,201900,8308,11299,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,
9100,2019,00,201900,65.9,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh,
9100,2019,00,201900,7.44,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls,
9100,2019,00,201900,12.72,12.95,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls,
9100,2019,00,201900,8125,11299,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,
9400,2019,00,201900,65.65,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh,
9400,2019,00,201900,6.65,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls,
9400,2019,00,201900,11.05,12.95,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls,
9400,2019,00,201900,7336,11299,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,
